text,clean_double_ws,text_en,scores,compound,comp_scores
Kalo bahasa daerah sangihe hoas (Hoase) artinya pasir kalau org Batui bilang hoas itu artinya beras.... Kalau hoax bahasa daerahnya apa ya... ???,Kalo bahasa daerah sangihe hoas (Hoase) artinya pasir kalau org Batui bilang hoas itu artinya beras.... Kalau hoax bahasa daerahnya apa ya... ???,"In the regional language, Sangihe hoas (Hoase) means sand, while Batui people say hoas, it means rice... What is the regional language for hoax...???","{'neg': 0.107, 'neu': 0.893, 'pos': 0.0, 'compound': -0.3899}",-0.3899,negatif
Bsok otw ini dodol durian... otw ampana atw otw batui???,Bsok otw ini dodol durian... otw ampana atw otw batui???,Tomorrow otw this is dodol durian... otw ampana orw otw batui???,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
So masuk batui.,So masuk batui.,So enter Batui.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
selamat sore Batui... pake hp jadul ip5s editing Lightroom windows,selamat sore Batui... pake hp jadul ip5s editing Lightroom windows,good afternoon Batui... using an old school IP5s cellphone editing Lightroom Windows,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negatif
Otw batui coba angkat tgan yg d batui siapa tw MW d visit,Otw batui coba angkat tgan yg d batui siapa tw MW d visit,"Oh, who's stoned? Try raising your hand, who's stoned? MW is visited","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Mari eratkan hubungan kita pau banggai_pau batui Humaera Hanai,Mari eratkan hubungan kita pau banggai_pau batui Humaera Hanai,Let's strengthen our relationship pau merdeka_pau batui Humaera Hanai,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Yg anak batui menyaut dlu,Yg anak batui menyaut dlu,The one the child stoned answered first,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Konter batui,Konter batui,Batui counter,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Hari pertama kerja di batui...,Hari pertama kerja di batui...,First day of work in Batui...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Pindah kampung otw batui,Pindah kampung otw batui,Moved village to Batui,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Haloo ... sahabat fokus FM batui Salam kompak selalu di'udara Yuu .. Gabung malam ini di'acara fokus song ReQues Bareng Bung'iLy Yang mau ikutan malam ini .. bisa di'nomor Radio no'081527858483 atau lasung Gabung di'status terbaru kami ..,Haloo ... sahabat fokus FM batui Salam kompak selalu di'udara Yuu .. Gabung malam ini di'acara fokus song ReQues Bareng Bung'iLy Yang mau ikutan malam ini .. bisa di'nomor Radio no'081527858483 atau lasung Gabung di'status terbaru kami ..,"Hello... Focus FM friends Batui. Greetings are always on the air, Yuu.. Join tonight at the Focus Song ReQues event with Bung'iLy. Those who want to join tonight... can call Radio number no'081527858483 or just join on' our latest status..","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Anakmu eee liat itu so ba lajangon di batui.. itu Ruhaeda yg krm org batui Matara Andi Matalatta Humaera Hana'i Rahma Hana'i,Anakmu eee liat itu so ba lajangon di batui.. itu Ruhaeda yg krm org batui Matara Andi Matalatta Humaera Hana'i Rahma Hana'i,Your son saw that so he was stoned... that was Ruhaeda who was stoned by Matara Andi Matalatta Humaera Hana'i Rahma Hana'i,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Mau tanya aq sdh daftar di Telkom Plasa Luwuk utk pemasangan wilayah batui sdh mau 2 bln blm jg ada pemasangan tolong infonya,Mau tanya aq sdh daftar di Telkom Plasa Luwuk utk pemasangan wilayah batui sdh mau 2 bln blm jg ada pemasangan tolong infonya,"I want to ask, I have registered at Telkom Plaza Luwuk for installation in the Batui area, it's been 2 months and there hasn't been any installation, please let me know","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Mau tanya aq SDH daftar di Plasa Telkom hampir 2 bulan belum jg dipasang Indihomex wilayah batui tolong informasinya,Mau tanya aq SDH daftar di Plasa Telkom hampir 2 bulan belum jg dipasang Indihomex wilayah batui tolong informasinya,"I want to ask if SDH has registered at Plasa Telkom for almost 2 months but Indihomex has not been installed in the Batui area, please provide information","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Ya Allah tolong lindungi keluarga di palu donggala poso ampana luwuk (khususx di kintom dgn batui) aminnn... tdk bisa ba tlp soalx ini beehhh,Ya Allah tolong lindungi keluarga di palu donggala poso ampana luwuk (khususx di kintom dgn batui) aminnn... tdk bisa ba tlp soalx ini beehhh,"Oh Allah, please protect the family in Palu Donggala Poso Ampana Luwuk (especially in Kintom with Batui) amennn... I can't call you about this beehhh","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Hai sahabat radio batui .. Salam kompak selalu buat kalian Malam ini . Yu .. Gabung malam ini di acara Fokus song .. reQues .. edisi-26 september 2018 pkul_22:00-sampai 00:00 bersama sy Bung'ilLi Gabung di'ruang Dengar anda ..,Hai sahabat radio batui .. Salam kompak selalu buat kalian Malam ini . Yu .. Gabung malam ini di acara Fokus song .. reQues .. edisi-26 september 2018 pkul_22:00-sampai 00:00 bersama sy Bung'ilLi Gabung di'ruang Dengar anda ..,"Hi Batui radio friends... Always a unified greeting to you tonight. Yu.. Join tonight at the Focus song event.. reQues.. edition-26 September 2018 from 22:00 to 00:00 with me, Bung'ilLi. Join in your listening room..","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
halo sahabt Radio fokus Fm Batui .. Gabung bersama anda malam ini di'Acara Fokus Song Mari jo .. Gabung malam ini Nop ..081527858483 reques .. Edisi 25-09-2018,halo sahabt Radio fokus Fm Batui .. Gabung bersama anda malam ini di'Acara Fokus Song Mari jo .. Gabung malam ini Nop ..081527858483 reques .. Edisi 25-09-2018,hello friends Radio focus Fm Batui .. Join you tonight at the 'Focus Song Mari Jo Event .. Join tonight Nov ..081527858483 reques .. Edition 09-25-2018,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Ready ayam petelur yang sudah apkir. Sehat wal afiat.. . Bobot ayam 1 7 - 2 2 kg . Rasa 11/12 ayam kampung.. alamat : ds. Sukamaju 1 kec. Batui selatan. stock skrg terbatas. Siapa cepat dia dapat Info order hub: Wa: 085243020005,Ready ayam petelur yang sudah apkir. Sehat wal afiat.. . Bobot ayam 1 7 - 2 2 kg . Rasa 11/12 ayam kampung.. alamat : ds. Sukamaju 1 kec. Batui selatan. stock skrg terbatas. Siapa cepat dia dapat Info order hub: Wa: 085243020005,Ready laying hens that have been rejected. Healthy and fit... Chicken weight 1 7 - 2 2 kg . Taste 11/12 free range chicken.. address: ds. Sukamaju 1 sub. South Batui. stock is limited now. First come first serve order info contact: Wa: 085243020005,"{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.3612}",0.3612,positif
sLamat malam sahabat FOKUS...apa kbar...?? malam ini jumpa lagi bareng putra kaili tentunya hanya di fokus radio 107.7 fm batui..yg pngen gbung silahkn tembus di No.081527858483.,sLamat malam sahabat FOKUS...apa kbar...?? malam ini jumpa lagi bareng putra kaili tentunya hanya di fokus radio 107.7 fm batui..yg pngen gbung silahkn tembus di No.081527858483.,"Good evening FOCUS friends...how are you...?? Tonight, we'll meet again with Kaili's son, of course only on radio focus 107.7 FM Batui... Those who want to join, please call No. 081527858483.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
sLamat malam sahabat FOKUS apa kbar...??? malam ini jumpa lgi bareng putra kaiLi hanya di fokus radio 107.7 fm batui yang pengen gabung silahkan sja tmbus di 081527858483....salam kompak slalu..!!!,sLamat malam sahabat FOKUS apa kbar...??? malam ini jumpa lgi bareng putra kaiLi hanya di fokus radio 107.7 fm batui yang pengen gabung silahkan sja tmbus di 081527858483....salam kompak slalu..!!!,"Good evening FOCUS friends, how are you...??? Tonight we will meet again with KaiLi's son only on Focus Radio 107.7 FM Batui. If you want to join, please just call 081527858483....greetings always...!!!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Kemarin Buka nya di Batui hari ini Buka nya di Bualemo.. Selalu dalam lindungan Allah Suami kuh.. ,Kemarin Buka nya di Batui hari ini Buka nya di Bualemo.. Selalu dalam lindungan Allah Suami kuh..,"Yesterday it opened in Batui, today it opened in Bualemo.. Always under the protection of Allah, my husband..","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
perjalanan batui luwuk mantap gan jalanan mulus bukti kerja pembangunan pak @jokowi nyata...,perjalanan batui luwuk mantap gan jalanan mulus bukti kerja pembangunan pak @jokowi nyata...,"Batui Luwuk journey is great, bro, smooth roads, proof of Mr @Jokowi's real development work...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
halo .. sahabat radio fokus fm batui . jumpa lagi kita kembali menghibur di'ruang dengar anda .. yg mau ikutan di'silakan komen di'bawa ... Edisi siar ..19/04-2018,halo .. sahabat radio fokus fm batui . jumpa lagi kita kembali menghibur di'ruang dengar anda .. yg mau ikutan di'silakan komen di'bawa ... Edisi siar ..19/04-2018,"hello.. friends of radio focus fm batui. See you again, we'll be entertaining again in your listening room.. Those who want to join in are welcome to comment below... Broadcast edition..19/04-2018","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Haiii sahabat Radio Nah ... jumpa bareng Bung ili Temani malam anda di'107.7 Mhz Hanya di Fokus Fm Batui Naah .. yang mau ikutan Malam ini di'acara fokus Song ReQues .. (Requessan Lagu) Edisi-28/march/2018 pukul;20:00 sampai 00:00,Haiii sahabat Radio Nah ... jumpa bareng Bung ili Temani malam anda di'107.7 Mhz Hanya di Fokus Fm Batui Naah .. yang mau ikutan Malam ini di'acara fokus Song ReQues .. (Requessan Lagu) Edisi-28/march/2018 pukul;20:00 sampai 00:00,"Hi, friends of Radio Well... meet with Bung Ili. Accompany your evening on '107.7 Mhz Only on Focus Fm Batui Naah... who wants to join in. Tonight at the focus event Song ReQues... (Song Requessan) Edition-28/march/2018 time; 20:00 to 00:00","{'neg': 0.037, 'neu': 0.963, 'pos': 0.0, 'compound': -0.1027}",-0.1027,negatif
Fokus Humor hanya ada di'fokus FM batui di' ketingian 107.7..,Fokus Humor hanya ada di'fokus FM batui di' ketingian 107.7..,The humor focus is only on FM Batui's focus at 107.7.,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}",0.2732,positif
sLamat maLam saHabat FOKUS. jumpa Lgi bareng putra kaiLi tntunya hnya di 107.7 fm batui di aksi fokus song request...!!!,sLamat maLam saHabat FOKUS. jumpa Lgi bareng putra kaiLi tntunya hnya di 107.7 fm batui di aksi fokus song request...!!!,Good evening FOCUS friends. See you again with KaiLi's son of course only on 107.7 FM Batui in action focus song request...!!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
fokus song reQuest yg pngen gabung di tunggu atensinya maLam ini....kita seru seruan aja di 107.7 fm batui..,fokus song reQuest yg pngen gabung di tunggu atensinya maLam ini....kita seru seruan aja di 107.7 fm batui..,"focus on song requests, those who want to join are waiting for your attention tonight....let's just call out on 107.7 fm batui..","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Bunda nanna di batui sulteng,Bunda nanna di batui sulteng,"Nanna's mother in Batui, Central Sulawesi","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Otw batui... haya-haya mananti,Otw batui... haya-haya mananti,Otw Batui... look forward to it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Belajar main2 ke pedalaman daerah Batui dulu...,Belajar main2 ke pedalaman daerah Batui dulu...,Learn to play around in the interior of the Batui area first...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Setelah Daurah di masjid rest area Lanjut Rihlah ke bendungan sisipan kec. Batui.,Setelah Daurah di masjid rest area Lanjut Rihlah ke bendungan sisipan kec. Batui.,"After Daurah at the mosque rest area, continue Rihlah to the sub-district insert dam. Batui.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Ngeeeeeeeeng mlm ini deng spu #batui_mlm_ini,Ngeeeeeeeeng mlm ini deng spu #batui_mlm_ini,Ngeeeeeeeng tonight with spu #batui_mlm_ini,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}",-0.34,negatif
Bobo.. Istrhat full bsok siap otw batui,Bobo.. Istrhat full bsok siap otw batui,"Bobo.. Have a full rest tomorrow, ready to rock out","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Laolang = kintom Lumbulanya = batui Roti Goreng = umumnya Sma kmu p kmpung apa???,Laolang = kintom Lumbulanya = batui Roti Goreng = umumnya Sma kmu p kmpung apa???,Laolang = kintom Lumbulanya = batui Fried Bread = generally what kind of high school are you in what village???,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Terima Kasih Sudah Bergabung Dengan Radio Fokus FM Batui Salam Kompak dan tetap Fokus..!!,Terima Kasih Sudah Bergabung Dengan Radio Fokus FM Batui Salam Kompak dan tetap Fokus..!!,"Thank you for joining Focus FM Radio Batui, Compact Greetings and stay focused..!!","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
fokus song reQuest bareng putra kaiLi......yg ikutan gabung d'tnggu atensinya d'085824104317.FOKUS radio 107.7 fm batui..!!!,fokus song reQuest bareng putra kaiLi......yg ikutan gabung d'tnggu atensinya d'085824104317.FOKUS radio 107.7 fm batui..!!!,focus on song reQuest with KaiLi's son......who is joining in and wait for your attention on 085824104317. FOKUS radio 107.7 fm batui..!!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Bljr b bkin akhirnya jadi jgaa katiri batui-blbngkang hahaha #untuk_buka_puasa,Bljr b bkin akhirnya jadi jgaa katiri batui-blbngkang hahaha #untuk_buka_puasa,Bljr b will end up being too katiri batui-blbngkang hahaha #for_buka_puasa,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5574}",0.5574,positif
haLLo sHabat FOKUS apa kBar...???? jMpa Lgi bReng putra kaiLi yg sLaLu setia mNghibur sHabat FOKUS d'107.7 fm batui.,haLLo sHabat FOKUS apa kBar...???? jMpa Lgi bReng putra kaiLi yg sLaLu setia mNghibur sHabat FOKUS d'107.7 fm batui.,"hello friends, what's your focus...???? jMpa Again with KaiLi's sons who have always been loyal to entertain FOKUS d'107.7 fm Batui's friends.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Capcus batui..,Capcus batui..,Capcus batui..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
fokus Song reQues .. Bersama Bung'ili di'107 7 batui,fokus Song reQues .. Bersama Bung'ili di'107 7 batui,focus Song reQues .. With Bung'ili in'107 7 batui,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
batui luwuk-sulawesi tengah diguyur hujan deras,batui luwuk-sulawesi tengah diguyur hujan deras,Batui Luwuk-Sulawesi is currently experiencing heavy rain,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
cuaca di batui lagi buruk. se buruk hati aku. tapi tetap semangat dalam menjalankan tugas.,cuaca di batui lagi buruk. se buruk hati aku. tapi tetap semangat dalam menjalankan tugas.,the weather in Batui is bad again. as bad as my heart. but remain enthusiastic in carrying out the task.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Makan siang #Rumah makan padang Batui,Makan siang #Rumah makan padang Batui,Lunch # Padang Batui restaurant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
saatnya sholat isya .. Untuk Batui Dan sekitarnya . ..,saatnya sholat isya .. Untuk Batui Dan sekitarnya . ..,It's time for evening prayers... for Batui and its surroundings. ..,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
slamat mlm sahabat fokus yu .. gabung di'107 8 batui.. fokus Top ReQues . bareng iLy ..,slamat mlm sahabat fokus yu .. gabung di'107 8 batui.. fokus Top ReQues . bareng iLy ..,"Have a good night, focus friends, let's join '107 8 Batui.. Focus Top ReQues. with iLy..","{'neg': 0.117, 'neu': 0.583, 'pos': 0.301, 'compound': 0.5859}",0.5859,positif
Slmat pagi kmpung orng #batui,Slmat pagi kmpung orng #batui,Good morning home people #Batui,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Otw batui,Otw batui,Oh rock,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
met mlam shabat fokus yuk join di 107.8 fm batui..,met mlam shabat fokus yuk join di 107.8 fm batui..,meet tonight friends focus let's join 107.8 fm batui..,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.296,positif
selamat mlam shabat fokus yuk join d.107.8 fm batui..,selamat mlam shabat fokus yuk join d.107.8 fm batui..,"good evening friends, let's focus, join d.107.8 fm batui..","{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.296}",0.296,positif
HUUU!!!...TA SANGKOT LAGI DI BATUI. .SUAAAAAAKK!!!...bikin jengkel,HUUU!!!...TA SANGKOT LAGI DI BATUI. .SUAAAAAAKK!!!...bikin jengkel,HUUU!!!...TA SANGKOT AGAIN IN BATUI. .SUAAAAAAKK!!!...annoying,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Okee otw palu bye bye batui yg terlalu baxk menyimpn kenangn smpai ktemu lgi ,Okee otw palu bye bye batui yg terlalu baxk menyimpn kenangn smpai ktemu lgi,"OK, bye bye hammer, rock the ones that are too good, keep the memories until we meet again","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Kse puas-puas di rmh deng kkq syng #ratna n keponakan #ekhi mo lma lgi inja batui ,Kse puas-puas di rmh deng kkq syng #ratna n keponakan #ekhi mo lma lgi inja batui,Kse content at home with kkq syng #ratna n niece #ekhi mo lma lgi inja batui,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Kebakaran di gudang logistik CPP PERTAMINA BATUI LUWUK BANGGAI,Kebakaran di gudang logistik CPP PERTAMINA BATUI LUWUK BANGGAI,Fire at CPP PERTAMINA BATUI LUWUK BANGGAI logistics warehouse,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Jalan-jalan bersama para ustadz. bgini kalo masih muda harus banyak melanglangbuana. :D berkunjung ke Batui Sulawesi Tengah Indonesia,Jalan-jalan bersama para ustadz. bgini kalo masih muda harus banyak melanglangbuana. :D berkunjung ke Batui Sulawesi Tengah Indonesia,"Go for a walk with the ustadz. Like this, when you are young you have to travel a lot. :D visited Batui, Central Sulawesi, Indonesia","{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.6166}",0.6166,positif
alhamdulillah slesai Proyek Desain Logo DELTA NETWORK Batui (design by: ipank media creative),alhamdulillah slesai Proyek Desain Logo DELTA NETWORK Batui (design by: ipank media creative),"Thank God, DELTA NETWORK Batui Logo Design Project is complete (design by: ipank media creative)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Mengudara Tanpa Pamri Untuk Kemajuan Batui ,Mengudara Tanpa Pamri Untuk Kemajuan Batui,Airing Selflessly for the Progress of Batui,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
Bertapa di batui kita,Bertapa di batui kita,Meditate on our rock,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,netral
otw lgi sya.. batui.. bsok otw lgi lwuk.. dpe mlm otw banggai...,otw lgi sya.. batui.. bsok otw lgi lwuk.. dpe mlm otw banggai...,Otw I'm back again.. Batui.. Tomorrow I'll be back tomorrow.. DPE tonight otw be proud...,"{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}",-0.34,negatif
